id_sprzedaz,id_sklep,id_dokumentsprzedazy,ilosc_produktu,id_produkt
1000303,22518,1111111521,4,1011310
1000304,44584,1111111522,10,1011193
1000305,18624,1111111523,9,1011301
1000306,53670,1111111524,4,1011124
1000307,38094,1111111525,9,1011222
1000308,49776,1111111526,3,1011263
1000309,27710,1111111527,7,1011275
1000310,16028,1111111528,7,1011269
1000311,40690,1111111529,1,1011227
1000312,26412,1111111530,3,1011216
1000313,25114,1111111531,10,1011274
1000314,23816,1111111532,2,1011318
1000315,54968,1111111533,10,1011229
1000316,30306,1111111534,1,1011111
1000317,19922,1111111535,3,1011253
1000318,21220,1111111536,7,1011213
1000319,36796,1111111119,9,1011293
1000320,36796,1111111119,4,1011221
1000321,36796,1111111119,10,1011311
1000322,36796,1111111119,5,1011171
1000323,36796,1111111119,8,1011230
1000324,36796,1111111119,2,1011226
1000325,36796,1111111119,6,1011201
1000326,36796,1111111119,7,1011246
1000327,36796,1111111119,4,1011169
1000328,36796,1111111119,1,1011232
1000329,36796,1111111119,1,1011189
1000330,36796,1111111119,7,1011307
1000331,36796,1111111119,6,1011315
1000332,36796,1111111119,1,1011268
1000333,36796,1111111119,2,1011166
1000334,36796,1111111119,8,1011154
1000335,36796,1111111119,2,1011153
1000336,36796,1111111119,8,1011188
1000337,36796,1111111119,1,1011308
1000338,36796,1111111119,5,1011299
1000339,36796,1111111119,9,1011196
1000340,36796,1111111119,7,1011130
1000341,36796,1111111119,8,1011168
1000342,36796,1111111119,8,1011149
1000343,36796,1111111119,4,1011139
1000344,36796,1111111119,10,1011143
1000345,36796,1111111119,7,1011289
1000346,26412,1111111537,9,1011157
1000347,21220,1111111538,8,1011183
1000348,32902,1111111539,2,1011165
1000349,53670,1111111540,7,1011207
1000350,14730,1111111541,6,1011272
1000351,38094,1111111542,5,1011225
1000352,45882,1111111543,1,1011114
1000353,54968,1111111544,3,1011133
1000354,30306,1111111545,3,1011152
1000355,18624,1111111546,7,1011127
1000356,35498,1111111547,6,1011142
1000357,29008,1111111548,2,1011326
1000358,41988,1111111549,6,1011312
1000359,23816,1111111550,1,1011256
1000360,40690,1111111120,6,1011210
1000361,40690,1111111120,8,1011144
1000362,40690,1111111120,4,1011287
1000363,40690,1111111120,2,1011290
1000364,40690,1111111120,9,1011113
1000365,40690,1111111120,6,1011203
1000366,40690,1111111120,2,1011223
1000367,40690,1111111120,8,1011220
1000368,40690,1111111120,2,1011282
1000369,40690,1111111120,10,1011264
1000370,40690,1111111120,5,1011292
1000371,40690,1111111120,1,1011163
1000372,39392,1111111551,3,1011267
1000373,43286,1111111552,6,1011313
1000374,25114,1111111553,8,1011304
1000375,52372,1111111554,3,1011215
1000376,51074,1111111555,7,1011302
1000377,12134,1111111556,5,1011160
1000378,26412,1111111557,8,1011190
1000379,21220,1111111558,4,1011192
1000380,32902,1111111559,2,1011116
1000381,53670,1111111560,8,1011175
1000382,14730,1111111561,5,1011295
1000383,38094,1111111562,7,1011219
1000384,45882,1111111563,9,1011195
1000385,54968,1111111564,5,1011184
1000386,30306,1111111565,10,1011132
1000387,18624,1111111566,2,1011181
1000388,35498,1111111567,9,1011176
1000389,29008,1111111121,3,1011115
1000390,29008,1111111121,5,1011237
1000391,29008,1111111121,6,1011321
1000392,29008,1111111121,3,1011239
1000393,29008,1111111121,7,1011234
1000394,29008,1111111121,8,1011300
1000395,29008,1111111121,3,1011271
1000396,29008,1111111121,3,1011180
1000397,29008,1111111121,9,1011138
1000398,29008,1111111121,7,1011298
1000399,19922,1111111568,4,1011197
1000400,22518,1111111569,8,1011218
1000401,44584,1111111570,8,1011322
1000402,48478,1111111571,2,1011129
1000403,16028,1111111572,10,1011249
1000404,39392,1111111573,1,1011285
1000405,43286,1111111574,8,1011112
1000406,25114,1111111122,8,1011146
1000407,25114,1111111122,3,1011320
1000408,25114,1111111122,3,1011316
1000409,25114,1111111122,5,1011279
1000410,27710,1111111575,8,1011252
1000411,13432,1111111576,5,1011317
1000412,39392,1111111577,10,1011296
1000413,32902,1111111578,10,1011211
1000414,17326,1111111579,2,1011245
1000415,48478,1111111580,9,1011204
1000416,27710,1111111581,5,1011276
1000417,22518,1111111582,2,1011228
1000418,40690,1111111583,4,1011217
1000419,36796,1111111584,1,1011161
1000420,44584,1111111585,10,1011243
1000421,52372,1111111586,5,1011186
1000422,23816,1111111587,9,1011178
1000423,13432,1111111588,8,1011231
1000424,53670,1111111589,1,1011150
1000425,41988,1111111590,6,1011148
1000426,12134,1111111591,1,1011122
1000427,21220,1111111123,10,1011177
1000428,21220,1111111123,9,1011255
1000429,21220,1111111123,5,1011238
1000430,21220,1111111123,9,1011251
1000431,21220,1111111123,3,1011159
1000432,21220,1111111123,1,1011150
1000433,35498,1111111592,7,1011234
1000434,34200,1111111593,10,1011251
1000435,26412,1111111594,8,1011223
1000436,25114,1111111595,8,1011311
1000437,14730,1111111596,9,1011173
1000438,49776,1111111597,9,1011209
1000439,43286,1111111598,9,1011242
1000440,16028,1111111599,8,1011193
1000441,54968,1111111600,5,1011276
1000442,19922,1111111601,8,1011257
1000443,45882,1111111602,2,1011146
1000444,31604,1111111603,7,1011316
1000445,51074,1111111124,4,1011200
1000446,51074,1111111124,6,1011309
1000447,51074,1111111124,10,1011301
1000448,51074,1111111124,7,1011240
1000449,51074,1111111124,6,1011118
1000450,51074,1111111124,7,1011137
1000451,51074,1111111124,4,1011220
1000452,51074,1111111124,7,1011211
1000453,51074,1111111124,5,1011126
1000454,53670,1111111125,9,1011121
1000455,53670,1111111125,5,1011208
1000456,53670,1111111125,8,1011274
1000457,53670,1111111125,5,1011213
1000458,53670,1111111125,8,1011278
1000459,36796,1111111604,8,1011205
1000460,12134,1111111605,5,1011216
1000461,34200,1111111606,2,1011138
1000462,48478,1111111607,3,1011280
1000463,22518,1111111608,2,1011267
1000464,38094,1111111609,8,1011269
1000465,32902,1111111610,4,1011194
1000466,49776,1111111611,6,1011164
1000467,14730,1111111612,10,1011248
1000468,17326,1111111613,9,1011144
1000469,43286,1111111614,2,1011283
1000470,21220,1111111615,9,1011297
1000471,51074,1111111616,6,1011191
1000472,40690,1111111126,10,1011225
1000473,40690,1111111126,7,1011277
1000474,40690,1111111126,2,1011229
1000475,40690,1111111126,8,1011168
1000476,40690,1111111126,5,1011227
1000477,40690,1111111126,5,1011256
1000478,40690,1111111126,8,1011245
1000479,40690,1111111126,8,1011266
1000480,40690,1111111126,9,1011165
1000481,35498,1111111617,2,1011298
1000482,52372,1111111618,7,1011305
1000483,54968,1111111619,10,1011181
1000484,45882,1111111620,6,1011204
1000485,31604,1111111127,1,1011120
1000486,31604,1111111127,1,1011199
1000487,31604,1111111127,10,1011167
1000488,31604,1111111127,8,1011139
1000489,31604,1111111127,2,1011182
1000490,31604,1111111127,10,1011293
1000491,31604,1111111127,6,1011290
1000492,31604,1111111127,3,1011131
1000493,31604,1111111127,7,1011151
1000494,53670,1111111621,5,1011172
1000495,13432,1111111622,6,1011212
1000496,19922,1111111623,6,1011324
1000497,25114,1111111624,4,1011244
1000498,23816,1111111625,4,1011313
1000499,36796,1111111626,9,1011262
1000500,12134,1111111627,4,1011214
1000501,34200,1111111628,10,1011252
1000502,48478,1111111629,4,1011258
1000503,22518,1111111630,4,1011306
1000504,38094,1111111631,7,1011286
1000505,32902,1111111632,6,1011128
1000506,49776,1111111633,2,1011323
1000507,14730,1111111128,8,1011226
1000508,14730,1111111128,6,1011215
1000509,14730,1111111128,8,1011175
1000510,14730,1111111128,2,1011239
1000511,14730,1111111128,4,1011150
1000512,14730,1111111128,4,1011125
1000513,14730,1111111128,5,1011231
1000514,14730,1111111128,10,1011189
1000515,14730,1111111128,7,1011312
1000516,29008,1111111634,1,1011218
1000517,30306,1111111635,3,1011303
1000518,16028,1111111636,5,1011114
1000519,27710,1111111637,6,1011129
1000520,44584,1111111638,8,1011119
1000521,35498,1111111639,2,1011287
1000522,52372,1111111640,1,1011247
1000523,54968,1111111641,4,1011190
1000524,45882,1111111642,10,1011236
1000525,31604,1111111643,10,1011317
1000526,47180,1111111644,5,1011170
1000527,26412,1111111129,2,1011111
1000528,26412,1111111129,6,1011141
1000529,26412,1111111129,2,1011241
1000530,26412,1111111129,8,1011259
1000531,26412,1111111129,10,1011263
1000532,26412,1111111129,8,1011307
1000533,26412,1111111129,2,1011221
1000534,26412,1111111129,5,1011127
1000535,35498,1111111645,3,1011319
1000536,45882,1111111646,10,1011325
1000537,54968,1111111647,6,1011292
1000538,30306,1111111648,2,1011304
1000539,47180,1111111649,6,1011233
1000540,53670,1111111650,2,1011179
1000541,13432,1111111651,3,1011195
1000542,36796,1111111652,8,1011143
1000543,38094,1111111653,2,1011135
1000544,39392,1111111654,6,1011136
1000545,49776,1111111655,5,1011299
1000546,18624,1111111656,10,1011288
1000547,44584,1111111657,9,1011115
1000548,17326,1111111130,10,1011272
1000549,17326,1111111130,1,1011254
1000550,17326,1111111130,10,1011188
1000551,17326,1111111130,1,1011271
1000552,17326,1111111130,4,1011130
1000553,17326,1111111130,10,1011178
1000554,21220,1111111658,9,1011260
1000555,40690,1111111659,3,1011163
1000556,41988,1111111660,8,1011160
1000557,26412,1111111661,6,1011273
1000558,14730,1111111131,8,1011232
1000559,14730,1111111131,2,1011184
1000560,14730,1111111131,5,1011310
1000561,14730,1111111131,8,1011203
1000562,16028,1111111662,7,1011124
1000563,27710,1111111663,8,1011122
1000564,12134,1111111664,9,1011145
1000565,34200,1111111665,10,1011155
1000566,32902,1111111132,1,1011253
1000567,32902,1111111132,3,1011300
1000568,32902,1111111132,9,1011314
1000569,32902,1111111132,1,1011198
1000570,32902,1111111132,10,1011294
1000571,32902,1111111132,10,1011140
1000572,32902,1111111132,4,1011275
1000573,32902,1111111132,6,1011113
1000574,32902,1111111132,1,1011210
1000575,32902,1111111132,3,1011268
1000576,32902,1111111132,8,1011174
1000577,32902,1111111132,5,1011296
1000578,32902,1111111132,3,1011161
1000579,32902,1111111132,9,1011147
1000580,32902,1111111132,2,1011207
1000581,32902,1111111132,7,1011192
1000582,32902,1111111132,9,1011148
1000583,32902,1111111132,1,1011187
1000584,32902,1111111132,9,1011315
1000585,32902,1111111132,8,1011185
1000586,32902,1111111132,9,1011219
1000587,32902,1111111132,3,1011291
1000588,32902,1111111132,8,1011206
1000589,32902,1111111132,6,1011265
1000590,32902,1111111132,10,1011326
1000591,32902,1111111132,4,1011132
1000592,32902,1111111132,8,1011237
1000593,32902,1111111132,1,1011153
1000594,32902,1111111132,1,1011157
1000595,32902,1111111132,5,1011197
1000596,32902,1111111132,9,1011158
1000597,32902,1111111132,9,1011183
1000598,32902,1111111132,9,1011176
1000599,32902,1111111132,8,1011249
1000600,32902,1111111132,3,1011308
1000601,32902,1111111132,3,1011250
1000602,32902,1111111132,8,1011217
1000603,32902,1111111132,7,1011261
1000604,32902,1111111132,4,1011162
1000605,32902,1111111132,5,1011149
1000606,32902,1111111132,8,1011154
1000607,32902,1111111132,1,1011186
1000608,32902,1111111132,3,1011295
1000609,32902,1111111132,7,1011322
1000610,32902,1111111132,8,1011246
1000611,32902,1111111132,7,1011134
1000612,32902,1111111132,10,1011318
1000613,32902,1111111132,2,1011285
1000614,14730,1111111666,9,1011159
1000615,54968,1111111667,5,1011282
1000616,40690,1111111668,10,1011230
1000617,44584,1111111669,10,1011235
1000618,35498,1111111670,4,1011116
1000619,23816,1111111671,10,1011201
1000620,49776,1111111672,2,1011169
1000621,29008,1111111673,9,1011166
1000622,18624,1111111674,7,1011289
1000623,21220,1111111675,3,1011180
1000624,45882,1111111676,7,1011255
1000625,53670,1111111677,10,1011177
1000626,22518,1111111678,5,1011284
1000627,30306,1111111679,4,1011224
1000628,32902,1111111680,6,1011228
1000629,12134,1111111681,9,1011270
1000630,25114,1111111682,8,1011238
1000631,19922,1111111683,6,1011123
1000632,47180,1111111684,2,1011171
1000633,26412,1111111685,8,1011196
1000634,41988,1111111686,4,1011302
1000635,16028,1111111687,2,1011117
1000636,13432,1111111688,7,1011202
1000637,38094,1111111133,3,1011321
1000638,38094,1111111133,4,1011156
1000639,38094,1111111133,8,1011222
1000640,38094,1111111133,1,1011112
1000641,38094,1111111133,4,1011281
1000642,38094,1111111133,5,1011264
1000643,38094,1111111133,1,1011133
1000644,38094,1111111133,3,1011320
1000645,38094,1111111133,5,1011279
1000646,31604,1111111689,2,1011142
1000647,43286,1111111134,7,1011152
1000648,43286,1111111134,7,1011243
1000649,43286,1111111134,1,1011302
1000650,43286,1111111134,9,1011117
1000651,43286,1111111134,2,1011202
1000652,43286,1111111134,4,1011321
1000653,43286,1111111134,5,1011156
1000654,43286,1111111134,2,1011222
1000655,43286,1111111134,7,1011112
1000656,43286,1111111134,9,1011171
1000657,43286,1111111134,8,1011196
1000658,14730,1111111690,5,1011128
1000659,54968,1111111691,7,1011211
1000660,40690,1111111692,9,1011139
1000661,44584,1111111693,2,1011246
1000662,35498,1111111135,6,1011270
1000663,35498,1111111135,4,1011309
1000664,35498,1111111135,8,1011227
1000665,35498,1111111135,9,1011268
1000666,35498,1111111135,4,1011131
1000667,35498,1111111135,2,1011153
1000668,35498,1111111135,3,1011249
1000669,35498,1111111135,7,1011166
1000670,35498,1111111135,10,1011152
1000671,35498,1111111135,7,1011201
1000672,35498,1111111135,7,1011200
1000673,12134,1111111694,4,1011291
1000674,25114,1111111695,8,1011299
1000675,19922,1111111696,10,1011264
1000676,47180,1111111697,7,1011258
1000677,26412,1111111698,2,1011115
1000678,41988,1111111699,7,1011129
1000679,16028,1111111700,6,1011276
1000680,13432,1111111136,10,1011269
1000681,13432,1111111136,5,1011181
1000682,13432,1111111136,9,1011314
1000683,13432,1111111136,7,1011178
1000684,13432,1111111136,3,1011260
1000685,13432,1111111136,3,1011318
1000686,13432,1111111136,10,1011195
1000687,39392,1111111701,1,1011120
1000688,36796,1111111702,1,1011297
1000689,51074,1111111703,5,1011111
1000690,31604,1111111704,5,1011205
1000691,43286,1111111137,5,1011138
1000692,43286,1111111137,10,1011145
1000693,43286,1111111137,5,1011210
1000694,43286,1111111137,8,1011198
1000695,43286,1111111137,10,1011197
1000696,43286,1111111137,8,1011133
1000697,43286,1111111137,5,1011124
1000698,43286,1111111137,5,1011206
1000699,43286,1111111137,9,1011150
1000700,27710,1111111705,4,1011307
1000701,53670,1111111706,6,1011192
1000702,47180,1111111707,10,1011141
1000703,16028,1111111708,1,1011121
1000704,54968,1111111709,8,1011226
1000705,23816,1111111710,7,1011256
1000706,49776,1111111711,4,1011118
1000707,40690,1111111712,9,1011126
1000708,44584,1111111713,8,1011168
1000709,34200,1111111714,3,1011172
1000710,21220,1111111138,3,1011148
1000711,21220,1111111138,2,1011308
1000712,21220,1111111138,2,1011295
1000713,21220,1111111138,1,1011188
1000714,21220,1111111138,6,1011228
1000715,21220,1111111138,6,1011261
1000716,21220,1111111138,2,1011224
1000717,21220,1111111138,3,1011214
1000718,21220,1111111138,8,1011289
1000719,12134,1111111715,1,1011136
1000720,41988,1111111716,4,1011191
1000721,51074,1111111717,2,1011325
1000722,25114,1111111718,5,1011219
1000723,13432,1111111719,7,1011222
1000724,38094,1111111720,9,1011326
1000725,35498,1111111721,7,1011220
1000726,29008,1111111722,5,1011306
1000727,36796,1111111723,10,1011240
1000728,31604,1111111724,4,1011175
1000729,14730,1111111139,6,1011285
1000730,14730,1111111139,10,1011127
1000731,14730,1111111139,7,1011132
1000732,14730,1111111139,7,1011165
1000733,14730,1111111139,4,1011230
1000734,14730,1111111139,8,1011255
1000735,27710,1111111725,10,1011217
1000736,53670,1111111726,10,1011281
1000737,47180,1111111727,7,1011135
1000738,16028,1111111728,9,1011161
1000739,54968,1111111729,7,1011163
1000740,23816,1111111730,8,1011237
1000741,49776,1111111731,2,1011238
1000742,40690,1111111732,3,1011189
1000743,44584,1111111733,9,1011229
1000744,34200,1111111734,2,1011234
1000745,21220,1111111735,9,1011303
1000746,30306,1111111140,1,1011207
1000747,30306,1111111140,9,1011283
1000748,30306,1111111140,2,1011174
1000749,30306,1111111140,10,1011159
1000750,30306,1111111140,4,1011235
1000751,30306,1111111140,8,1011157
1000752,30306,1111111140,3,1011116
1000753,18624,1111111736,7,1011173
1000754,12134,1111111737,4,1011155
1000755,41988,1111111738,5,1011311
1000756,51074,1111111739,8,1011321
1000757,25114,1111111740,9,1011142
1000758,13432,1111111741,3,1011119
1000759,38094,1111111141,6,1011144
1000760,38094,1111111141,2,1011244
1000761,38094,1111111141,3,1011179
1000762,38094,1111111141,7,1011253
1000763,38094,1111111141,3,1011112
1000764,14730,1111111742,8,1011287
1000765,32902,1111111743,1,1011143
1000766,52372,1111111744,4,1011294
1000767,22518,1111111745,2,1011194
1000768,19922,1111111142,3,1011315
1000769,19922,1111111142,8,1011312
1000770,19922,1111111142,9,1011278
1000771,19922,1111111142,4,1011275
1000772,19922,1111111142,10,1011151
